,date,count,Year,Month,Week,Day,Day of Week,Day of Year
0,2014-01-01,6059.0,2014,1,1,1,2,1
1,2014-02-01,12771.0,2014,2,5,1,5,32
2,2014-03-01,9202.0,2014,3,9,1,5,60
3,2014-04-01,23908.0,2014,4,14,1,1,91
4,2014-05-01,26762.0,2014,5,18,1,3,121
5,2014-06-01,31333.0,2014,6,22,1,6,152
6,2014-07-01,34854.0,2014,7,27,1,1,182
7,2014-08-01,32654.0,2014,8,31,1,4,213
8,2014-09-01,23575.0,2014,9,36,1,0,244
9,2014-10-01,27942.0,2014,10,40,1,2,274
10,2014-11-01,6002.0,2014,11,44,1,5,305
11,2014-12-01,18519.0,2014,12,49,1,0,335
12,2014-01-13,20633.0,2014,1,3,13,0,13
13,2014-01-14,9999.0,2014,1,3,14,1,14
14,2014-01-15,21630.0,2014,1,3,15,2,15
15,2014-01-16,19953.0,2014,1,3,16,3,16
16,2014-01-17,20301.0,2014,1,3,17,4,17
17,2014-01-18,9438.0,2014,1,3,18,5,18
18,2014-01-19,9028.0,2014,1,3,19,6,19
19,2014-01-20,13407.0,2014,1,4,20,0,20
20,2014-01-21,3804.0,2014,1,4,21,1,21
21,2014-01-22,2451.0,2014,1,4,22,2,22
22,2014-01-23,5071.0,2014,1,4,23,3,23
23,2014-01-24,6176.0,2014,1,4,24,4,24
24,2014-01-25,4338.0,2014,1,4,25,5,25
25,2014-01-26,4980.0,2014,1,4,26,6,26
26,2014-01-27,13119.0,2014,1,5,27,0,27
27,2014-01-28,10033.0,2014,1,5,28,1,28
28,2014-01-29,10021.0,2014,1,5,29,2,29
29,2014-01-30,12158.0,2014,1,5,30,3,30
30,2014-01-31,14653.0,2014,1,5,31,4,31
31,2014-01-02,8600.0,2014,1,1,2,3,2
32,2014-02-02,13816.0,2014,2,5,2,6,33
33,2014-03-02,8195.0,2014,3,9,2,6,61
34,2014-04-02,22515.0,2014,4,14,2,2,92
35,2014-05-02,32377.0,2014,5,18,2,4,122
36,2014-06-02,34519.0,2014,6,23,2,0,153
37,2014-07-02,26582.0,2014,7,27,2,2,183
38,2014-08-02,26784.0,2014,8,31,2,5,214
